,Norma,No_Articulo,Contenido_Articulo
387,Decreto_734_de_2012,Artículo 6.1.2.6.,"Artículo 6.1.2.6. Certificado. Con base en la verificación documental efectuada por la Cámara de Comercio competente, de conformidad con
el presente decreto, las Cámaras de Comercio expedirán el certificado respectivo, firmado por el secretario o quien haga sus veces, en el
formato adoptado para ello.
Cuando se renueve o actualice el Registro Único de Proponentes, la información que ha sido objeto de modificación continuará vigente
hasta que el acto de inscripción correspondiente de la nueva información quede en firme.
El certificado constituye plena prueba respecto de la información verificada documentalmente y cuyo registro se encuentra en firme. Lo
mismo ocurre en relación con la información que proviene del Registro Mercantil o del Registro de Entidades Sin Ánimo de Lucro para los
efectos de lo previsto en el presente decreto.
Las Cámaras de Comercio no serán responsables frente al contenido y oportunidad de la información que reporten las entidades estatales.
En consecuencia, la información de este tipo incluida en el certificado se entenderá probada bajo la responsabilidad exclusiva de la entidad
estatal remitente.
"
333,Decreto_734_de_2012,Artículo 3.8.3.7.,"Artículo 3.8.3.7. Oferta. Podrán presentar oferta de compra de bienes a través de los mecanismos de venta directa en sobre cerrado o de
subasta pública, las personas naturales o jurídicas nacionales o extranjeras, directamente por el interesado o por medio de un apoderado.
Así mismo pueden presentar oferta las entidades fiduciarias que representen un encargo fiduciario o un patrimonio autónomo debidamente
constituidos, sin el requisito de informar quiénes son sus fideicomitentes o beneficiarios. La fiduciaria será responsable del debido
conocimiento del cliente conforme al artículo 102 del Estatuto Orgánico del Sistema Financiero.
El postor deberá presentar con el formato de oferta:
1. La autorización para consultar sus datos ante las autoridades que el Ministerio de Justicia y del Derecho considere pertinentes, salvo que
la oferta se presente a través de fiduciarias.
2. Certificación juramentada en la que conste el origen lícito de los fondos con los cuales adquirirá el bien.
3. La consignación del veinte por ciento (20%) del precio base, valor que se constituye como arras confirmatorias penales.
Las condiciones generales de la oferta deberán ser publicadas en las páginas web del Ministerio de Justicia y del Derecho y del promotor y
este deberá incluirlas en el formato de oferta, para conocimiento y firma de los interesados.
Una vez recibida la oferta por el promotor, en caso de venta directa en sobre cerrado o en pública subasta, el oferente no podrá retractarse,
y en caso de hacerlo, perderá de pleno derecho el valor consignado, que se entiende como arras confirmatorias penales imputables al
precio de enajenación.
"
51,Decreto_2474_de_2008,Artículo 1.,"Artículo 1. Objeto. El presente decreto reglamenta las modalidades de selección y señala disposiciones generales en materia de publicidad,
selección objetiva y otros aspectos relacionados con los procesos de contratación pública.
"
52,Decreto_2474_de_2008,Artículo 20.,"Artículo 20. Estudios previos para la subasta inversa. Como parte del contenido de los estudios y documentos previos señalados en el
artículo 3 del presente decreto, cada bien o servicio de características técnicas uniformes y de común utilización a ser adquirido mediante
subasta inversa, tendrá una ficha técnica que incluirá sus características y especificaciones, en términos de desempeño y calidad cuya
elaboración será responsabilidad de cada entidad.
Las fichas técnicas deberán contener, como mínimo:
a) Denominación de bien o servicio;
b) Denominación técnica del bien o servicio;
c) Unidad de medida;
d) Descripción general.
http://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=4330910
http://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=373451
http://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=393190
Departamento Administrativo de la Función Pública
Decreto 2474 de 2008 9 EVA  Gestor Normativo
Parágrafo. El Secop mantendrá un registro con las fichas técnicas a que se refiere el presente artículo.
"
53,Decreto_2474_de_2008,Artículo 21.,"Artículo 21. Contenido de la propuesta inicial. En el momento señalado en el pliego de condiciones, los proponentes presentarán una
propuesta completa, incluyendo la información sobre la capacidad jurídica y las condiciones de experiencia, capacidad financiera y de
organización de los proponentes y una propuesta inicial de precio, la cual sólo será abierta al momento de inicio de la puja. En caso de que
el proponente no haga nuevas posturas de precio durante el certamen, dicho precio inicial se considerará su propuesta final.
"
54,Decreto_2474_de_2008,Artículo 22.,"Artículo 22. Verificación de los requisitos habilitantes. Para que una subasta pueda llevarse a cabo en los términos de este decreto deberán
resultar habilitados para presentar lances de precios por lo menos dos (2) proponentes.
El resultado de la verificación de los requisitos habilitantes se publicará de conformidad con lo señalado en el artículo 8 del presente
decreto. En dicho informe se señalarán los proponentes que no se consideran habilitados y a los cuales se les concederá un plazo para que
subsanen la ausencia de requisitos o la falta de documentos habilitantes, so pena del rechazo definitivo de sus propuestas. Luego de
verificados y subsanados los requisitos habilitantes, si a ello hubiere lugar, las entidades procederán a llevar a cabo la subasta dentro de los
plazos fijados en los pliegos de condiciones.
Si sólo un oferente resultare habilitado para participar en la subasta, la entidad ampliará el plazo para la presentación de los documentos
habilitantes y la oferta inicial de precio, por el término indicado en los pliegos de condiciones, el cual en ningún caso podrá ser mayor de la
mitad del inicialmente previsto.
Si vencido ese plazo no se alcanza la pluralidad de proponentes, la entidad adjudicará el contrato al proponente habilitado, siempre que su
oferta no exceda el presupuesto oficial indicado en el pliego de condiciones.
Parágrafo. Durante la prórroga a que hace referencia el tercer inciso del presente artículo, cualquier interesado podrá presentar oferta,
incluyendo aquellos proponentes que fueron considerados no hábiles para participar en la subasta, en los términos señalados en el presente
NOTA: El texto subrayado fue declarado NULO por el Consejo de Estado mediante Sentencia de abril 14 de 2010, rad.
11001032600020080010100(36054)B.
"
377,Decreto_734_de_2012,Artículo 5.4.2.,"Artículo 5.4.2. Divisibilidad de las garantías. En los contratos a los que se refiere el presente decreto se podrá dar aplicación a lo establecido
por el artículo 5.1.9 del presente decreto, siempre y cuando el cumplimiento del objeto se desarrolle por etapas subsiguientes y
diferenciadas o para cuya ejecución en el tiempo requiera de su división en etapas, sin importar el plazo o duración del contrato.
"
357,Decreto_734_de_2012,Artículo 5.1.4.,"Artículo 5.1.4. Riesgos a amparar derivados del incumplimiento de obligaciones. La garantía deberá amparar los perjuicios o sanciones que
se deriven del incumplimiento del ofrecimiento o del incumplimiento del contrato, según sea el caso, y que, de manera enunciativa se
señalan en el presente artículo:
5.1.4.1 Riesgos derivados del incumplimiento del ofrecimiento: La garantía de seriedad de la oferta cubrirá la sanción derivada del
incumplimiento del ofrecimiento, en los siguientes eventos:
5.1.4.1.1 La no suscripción del contrato sin justa causa por parte del proponente seleccionado.
5.1.4.1.2 La no ampliación de la vigencia de la garantía de seriedad de la oferta cuando el término previsto en los pliegos para la
adjudicación del contrato se prorrogue o cuando el término previsto para la suscripción del contrato se prorrogue, siempre y cuando esas
prórrogas no excedan un término de tres meses.
5.1.4.1.3 La falta de otorgamiento por parte del proponente seleccionado, de la garantía de cumplimiento exigida por la entidad para
amparar el incumplimiento de las obligaciones del contrato.
5.1.4.1.4 El retiro de la oferta después de vencido el término fijado para la presentación de las propuestas.
5.1.4.1.5 El haber manifestado ser Mipyme para limitar la convocatoria de un proceso contractual sin cumplir los requisitos establecidos en
la normativa para tener tal condición.
5.1.4.2 Riesgos derivados del incumplimiento de las obligaciones contractuales: La garantía de cumplimiento de las obligaciones cubrirá los
perjuicios derivados del incumplimiento de las obligaciones legales o contractuales del contratista, así:
5.1.4.2.1 Buen manejo y correcta inversión del anticipo. El amparo de buen manejo y correcta inversión del anticipo cubre a la entidad
estatal contratante, de los perjuicios sufridos con ocasión de (i) la no inversión; (ii) el uso indebido, y (iii) la apropiación indebida que el
contratista garantizado haga de los dineros o bienes que se le hayan entregado en calidad de anticipo para la ejecución del contrato.
Cuando se trate de bienes entregados como anticipo, estos deberán tasarse en dinero en el contrato.
5.1.4.2.2 Devolución del pago anticipado. El amparo de devolución de pago anticipado cubre a la entidad estatal contratante de los
perjuicios sufridos por la no devolución total o parcial, por parte del contratista, de los dineros que le fueron entregados a título de pago
anticipado, cuando a ello hubiere lugar.
5.1.4.2.3 Cumplimiento de las obligaciones surgidas del contrato estatal incluyendo en ellas el pago de multas y cláusula penal pecuniaria,
cuando se hayan pactado en el contrato. El amparo de cumplimiento del contrato cubrirá a la entidad estatal contratante de los perjuicios
directos derivados del incumplimiento total o parcial de las obligaciones nacidas del contrato, así como de su cumplimiento tardío o de su
cumplimiento defectuoso, cuando ellos son imputables al contratista garantizado. Además de esos riesgos, este amparo comprenderá
siempre el pago del valor de las multas y de la cláusula penal pecuniaria que se hayan pactado en el contrato garantizado.
5.1.4.2.4 Pago de salarios, prestaciones sociales legales e indemnizaciones laborales. El amparo de pago de salarios, prestaciones sociales
legales e indemnizaciones laborales cubrirá a la entidad estatal contratante de los perjuicios que se le ocasionen como consecuencia del
incumplimiento de las obligaciones laborales a que esté obligado el contratista garantizado, derivadas de la contratación del personal
utilizado para la ejecución del contrato amparado en el territorio nacional.
Esta garantía no se aplicará para los contratos que se ejecuten en su totalidad fuera del territorio nacional por personal contratado bajo un
régimen jurídico distinto al nacional.
5.1.4.2.5 Estabilidad y calidad de la obra. El amparo de estabilidad y calidad de la obra cubrirá a la entidad estatal contratante de los
perjuicios que se le ocasionen como consecuencia de cualquier tipo de daño o deterioro, independientemente de su causa, sufridos por la
obra entregada, imputables al contratista.
5.1.4.2.6 Calidad y correcto funcionamiento de los bienes y equipos suministrados. El amparo de calidad y correcto funcionamiento de los
bienes y equipos suministrados cubrirá a la entidad estatal contratante de los perjuicios imputables al contratista garantizado, (i) derivados
de la mala calidad o deficiencias técnicas de los bienes o equipos por él suministrados, de acuerdo con las especificaciones técnicas
establecidas en el contrato, o (ii) por el incumplimiento de los parámetros o normas técnicas establecidas para el respectivo bien o equipo.
5.1.4.2.7 Calidad del servicio. El amparo de calidad del servicio cubre a la entidad estatal contratante de los perjuicios imputables al
contratista garantizado que surjan con posterioridad a la terminación del contrato y que se deriven de (i) la mala calidad o insuficiencia de
los productos entregados con ocasión de un contrato de consultoría, o (ii) de la mala calidad del servicio prestado, teniendo en cuenta las
condiciones pactadas en el contrato.
5.1.4.2.8 Los demás incumplimientos de obligaciones que la entidad contratante considere deben ser amparados de manera proporcional y
acorde a la naturaleza del contrato.
Parágrafo. En virtud de lo señalado por el artículo 44 de la Ley 610 de 2000, la garantía de cumplimiento cubrirá los perjuicios causados a
la entidad estatal como consecuencia de la conducta dolosa o culposa, o de la responsabilidad imputable a los particulares, derivados de un
http://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=572544
Departamento Administrativo de la Función Pública
Decreto 734 de 2012 43 EVA  Gestor Normativo
proceso de responsabilidad fiscal, siempre y cuando esos perjuicios deriven del incumplimiento de las obligaciones surgidas del contrato
amparado por la garantía.
"
211,Decreto_734_de_2012,Artículo 3.2.1.2.,"Artículo 3.2.1.2. Procedimientos para la adquisición de bienes y servicios de características técnicas uniformes y de común utilización. Sin
consideración a la cuantía del contrato a realizar, si el bien o servicio requerido por la entidad es de características técnicas uniformes y de
común utilización deberá hacerse uso de procedimientos de subasta inversa, compra por acuerdo marco de precios o adquisición a través
de bolsas de productos.
Parágrafo transitorio. Las entidades sometidas al Estatuto General de Contratación de la Administración Pública no podrán hacer uso de los
acuerdos marco de precios para la adquisición de este tipo de bienes y servicios, hasta que no se asignen las responsabilidades a que se
refiere el inciso 4 del parágrafo 5 del artículo 2 de la Ley 1150 de 2007 y se expida la reglamentación correspondiente.
Subsección I
Subasta Inversa
"
55,Decreto_2474_de_2008,Artículo 23.,"Artículo 23. Modalidades de subasta inversa. La subasta inversa podrá tener una de las siguientes modalidades:
a) Subasta inversa electrónica, caso en el cual la misma tendrá lugar en línea a través del uso de recursos tecnológicos;
b) Subasta inversa presencial, caso en el cual los lances de presentación de las propuestas durante esta se harán con la presencia física de
los proponentes y por escrito.
Parágrafo 1. En desarrollo de la adquisición de bienes o servicios de características técnicas uniformes o de común utilización a través de
subastas inversas, las entidades usarán la modalidad electrónica, salvo que la entidad certifique que no cuentan con la infraestructura
tecnológica para ello, caso en el cual podrán llevar a cabo los procedimientos de subasta de manera presencial, sin perjuicio de las
verificaciones que al respecto efectúe el Ministerio de Comunicaciones.
Parágrafo 2. Para el desarrollo de las subastas electrónicas inversas las entidades podrán utilizar la plataforma tecnológica que ponga en
funcionamiento el Secop o contratar con terceros su realización, de no contar con una propia, que en todo caso deberá garantizar la
autenticidad y la integridad de los mensajes de datos. En los dos últimos casos la solución deberá generar reportes sobre el desarrollo del
certamen en los formatos y parámetros tecnológicos señalados por el administrador del Secop, así como realizar en este último la totalidad
de las publicaciones a que se refiere la presente subsección.
"
